Questions,Answer,,
"How do I choose whether to apply to the MS or the PhD program?

","The answer to this question depends upon your individual career goals. Our PhD program is designed for students interested in research in computer science and computer engineering. The program prepares individuals for a career in academia as a professor at a research university or liberal arts college, or as a researcher in an industry or government research laboratory. The program typically takes 4-6 years to complete.

",,
"Does CSE offer any scholarships?

","Yes, we have a limited number of departmental scholarships available to current CSE majors.

",,
" 

How many semester in a year?"," Three semester in a year: Spring, Summer  and  Fall.
",,
" 

How many times admission in a year?"," Three semester in a year: Spring, Summer  and  Fall.
",,
 who is  Associate Head CSE?,Dr. Sheak Rashed Haider Noori,,
"If I am not admitted the first time, can I apply again?

","A CSE advisor can help you decide whether reapplying makes sense.  For students who we encourage to reapply, an advisor can discuss previous applications, interpret feedback from the admissions committee if applicable, and recommend next steps for a possible reapplication. Additionally, all CSE applicants should explore alternative computing-related majors to determine a plan in case they are not admitted to the department.

",,
"My GPA is not on the 4.0 scale, so how will it be evaluated?

","Many institutions, particularly those outside of the US educational system, do not grade students on a 4.0 GPA scale. Our faculty is familiar with the higher educational systems of countries all over the world and evaluates an applicant's academic performance within that individual's local context.

",,
"Can I pursue a double major if I major in computer science?

","One of the key advantages of a large research institution like the DIU is the extensive cross-department collaboration and the broad range of subjects offered.  CSE values enabling you to explore subjects outside of the department.  
",,
"If I am accepted into CSE, can I defer admission? Can I attend part-time?

","Due to the high demand for the CSE program, admission is offered only for the quarter for which you apply. You may not defer your admission or save a space in the department while not taking CSE courses. The department offers a full-time, daytime program. If you are admitted to the program, plan on pursuing your degree on a full-time basis. Some exceptions may be considered for extenuating circumstances.

",,
"Is there any opportunity for improving result?

","Of course, but you will have to pay the full course fee in that course.

",,
"What is part time job ?

","Many of our MS students complete their degrees part-time, but working on the degree part-time can double or triple the time required to complete it. Students do not petition for half-time attendance (6 units or fewer per quarter) until they have been accepted into the CSE program.

",,
"Any grade requirement for O-Level or A-Level students?

","minimum GPA atleast 2.0 in subjects

",,
"How much I have to pay for admission today?

","About 37500 taka.

",,
"How much I have to pay as admission fee?

","About 15000 taka.

",,
admission fees?,"About 15000 taka.

",,
"Per lab cost how much?

","About 5000 tk .

",,
lab fees ,"About 5000 tk .

",,
"Is there any admission Test exam?

","If your GPA is less than 3.50 then you have to test exam.

",,
"Which semester how amount?

","Depend on your credit .

",,
"How do I choose whether to apply to the MS or the PhD program?

","The answer to this question depends upon your individual career goals. Our PhD program is designed for students interested in research in computer science and computer engineering. The program prepares individuals for a career in academia as a professor at a research university or liberal arts college, or as a researcher in an industry or government research laboratory. The program typically takes 4-6 years to complete.

",,
"How many months in a semester?

","1 semester in 4 months.

",,
"Vocational or madrasa student can take admission here?

","Yes , but your background must be science group

",,
"Which brand laptop?

","This is the DCL brand. This is our own product .

",,
"Is there any hidden charge?

","No hidden charge of our university .

",,
"How do I apply?

","For directions on how to apply, please visit the web page for Graduate Admission Requirements .

",,
"minimum GPA for admission test?

","Minimum GPA 3.50 .

",,
"How rank DIU in Bangladesh?

","Now rank is 2nd.

",,
"What criteria do you use for acceptance into your programs?

","evaluation process for applications is extremely complex, taking into account all the materials submitted with the application. Grade point average (GPA),   letters of recommendation, and statement of purpose all play a role. Then the CSE Department does a more thorough evaluation in a committee consisting of several faculty members. Sometimes the committee must draw on the experience of the faculty at-large to make an informed decision.

",,
"How much extra curriculum fee?

","About 18000 taka.

",,
extra curriculum fees?,,,
"Is there any opportunity for higher study?

","Of Course, but will depend on your CGPA and extracurricular activity.

",,
"Is this varsity is approved by UGC?

","Yes. I will approve this system .

",,
"How much project fee?

","About 19200 taka.

",,
project fees?,"About 19200 taka.

",,
"Any subject grade requirement?

","Yes, physics, math & english must have a plus.

",,
"How much cost in a semester?

","It will depend on your credit .

",,
"How many semester in a year?

",": There are 3 semester in a year.

",,
"is the graduate application deadline?

","The application deadline for Fall 2019 admission is December 17, 2018. 

",,
"Is there any condition for getting free laptop?

","Yes, your cgpa must be up to 2.50. Otherwise you lose the fee laptop.

",,
"What is the minimum CGPA for completing graduation?

","Your cgpa must be up to 2.50 .

",,
minimum CGPA to take certificates ?,"Your cgpa must be up to 2.50 .

",,
Total semester in CSE,"There are 12 semesters in this course.

",,
"How many semester in CSE?

","There are 12 semesters in this course.

",,
"What is the general guideline for degree?

","Student willing to obtain a BSc in CSE will have to follow the general guidelines of degree requirements of the university.

",,
"Is there any free laptop for each student?

","Yes. DIU will provide 1 laptop for each student.

",,
"How many credit have to complete to be a graduate?

","To obtain BSc in CSE student will have to complete 148 credits with at least GPA 2.5.

",,
"How much total Lab Cost?

","About 24000 taka.

",,
lab fees?,"About 24000 taka.

",,
"Is varsity allow open credit?

","Yes, but some rules follow this system .

",,
"Can I apply for both the MS and the PhD program

","You must choose to apply to one degree program or another within the Computer Science and Engineering department.

",,
"How many slots in a semester for paying total semester cost?

","It is payable on 3 slots

",,
"What amount of Cost in total to complete CSE?

","About 759800 taka.

",,
"Is there available credit transform?

",Yes . but some specific university .,,
"Is there any weaver system?

","Yes, depend on your result.

",,
"Parking facilities available?

","Yes, all cars & bike & cycle parking facility available.

",,
"Year drop student can take admission?

","Yes, maximum 2 years drop are allow.

",,
"How cost in hostel per month?

","About 6500 taka per month .

",,
"Is there any gymnasium facilities?

","Yes.

",,
"How many campus DIU have?

","There are 3 campus of our university with different place.
Permanant campus at Ashulia, Saver. Main Campus at Dhanmondhi-32, another one at Uttara.
",,
"Class duration? Start and finish time?

","Normally 13 hours. Start time at 8.30 am & finish time at 9.30 pm .

",,
"Diploma student course system?

","Please, visit our diploma course web site.

",,
"Is all campus class stand same?

","Yes, of course. Why not ?

",,
"Which semester I get the laptop?

","probably 5th semester.

",,
"Is there available hostel facilities?

","yes 100% facility of ther.

",,
"Is there sports, culture, robotics or programming club?

","Yes.

",,
"Is there any scholarship?

","Yes, depend on your result and your extracurricular activity.

",,
"Is Lab equipment highly rich?

","No, is available.

",,
"Is guest allow in hostel?

",No,,
"diploma student can take admission?

","Yes, but you admit evening shift.

",,
"In CSE is there ‘Animation Course’?

","No.

",,
How may I get scholarship from foreign university?,Call for Applications for different scholarship opportunities are regularly posted in the Notice Board and social media Pages of DIU International Affairs. See the regular updates and check your student e-mail. Contact with the officials of the office of the DIU International Affairs for further information and clarifications.,,
How can I change Department/Program?,Collect the Department Change Form from Registrar Office. Fill-up and collect sign from respective Deans and Heads.Clear all dues and submit the form to Registrar Office for approval.,,
How can I solve the Email password problem?,Contact department office.,,
"Does the Library have computers, wireless access for use?","Yes, there are computers at every floor adjacent to the circulation desk for database search, preparation of assignments and internet browsing. Wi-Fi accessibility is available to whole library premises.",,
Is food and drink allowed in the Library?,No. there is no scope to take food and drinks inside the library premises.,,
Are there designated loud places and quiet spaces in the Library?,"No, but there are quieter and louder places located throughout the Library depending on user need (individual users tend to prefer quiet; while groups congregating for study or socializing appreciate being able to converse normally). The Library recognizes the need for both. We simply encourage users to be respectful of others at all times. Please talk with a Library staff member if you have a question or concern.",,
Does the Library have group/study rooms?,"Yes, the Library has a large group/study section on the fifth floor where approximately 100 users can accommodate at once.",,
"How do I find out what books, journals, magazines, project report etc. are in the Library?","The entire collection is searchable via the library catalog, which is available on- or off-campus from the library homepage. Put your cursor on “Library Catalog” in search bar from the library homepage, then you can search by Keyword (default), Author, Title, subject, ISBN, etc. An item with a status “Available” in the Catalog should be available for check out from the shelves.To search books please go to the following link: http://koha.daffodilvarsity.edu.bd",,
Can I hold any item?,"You can also reserve an item by selecting  hold option through which you will enjoy priority to check out or borrow on those materials. To hold a book you need to first log in with your Library ID & Password. Then you can ""Place hold"" on items which are already checked out to another.",,
Where to download e-books?,To download e-books please go the the following link. You need to login with your e-book identity and password to search or download e-books. http://e-books.daffodilvarsity.edu.bd,,
What do I need to borrow items from the Library?,"Daffodil International University faculty, students and staff must present a valid library membership to check out library materials.",,
How long can I check out Library items?,"Faculty members can check out total 7 books for one semester (120 days) Reference and continuing resources for 15 days, DVDs, and CDs for 5 days. Items can be renewed once if they are not on hold for other users. Students can check out 5 books for reading within the library, Project reports for 15 days, and audiovisual materials and magazines for 5 days. Items can be renewed once if they are not on hold for other users.",,
Where do I return Library items?,"When the Library is open, please return items of any type to the respective Circulation Desk from where, you had borrow/check-out of that particular item.",,
How can I get an item that is currently checked out?,"Place a hold on a checked-out item via the library catalog at the search page. When the item is returned the Library will contact you via email, and you may check out the item at the Circulation Desk using your ID. If you have any trouble placing a hold, please contact the Library.",,
Can you tell me who has an item that is currently checked out?,"Librarians take patron privacy very seriously. Library records of patrons are private. Library staff cannot tell you who is using, or has used, a library item. Library staff cannot disclose who is using or has used a library item, or who has requested information on a particular topic, except to a person inquiring about their own record, or law enforcement officers with warrants for specific information.",,
What are the fines for overdue items? What happens if I fail to return an item checked out in my name?,The Library sends automated email notices when items are overdue but does not charge daily fines for overdue items. Faculty members and administrative personnel will be charged per day according to​ Library Policy against every item (Except holidays).,,
What happens if an item checked out in my name is lost or damaged?,"All items checked out to you are your responsibility until returned. If an item is lost or damaged, you must have replaced the item by the same as it was during the check-out. Your library account will be blocked until charges are paid. Outstanding Library charges, as with any other unresolved student fees, may prevent you from graduating, registering, transferring, receiving transcripts, withdrawing, or transferring credits to another institution.",,
I am a daffodil International University student in a graduate program. What do I have to do to submit my thesis to the Library?,The Library enters copies of all completed graduate student project papers/theses into its permanent collection. Students should submit their project paper/thesis to their supervisor and library will collect these from the supervisor and preserved at 3rd floor of the library.,,
How can I find out when a library item is due?,"You can find the due date for any item by looking at its record in the catalog. By logging into your Library Account, you can see the due dates of items you have borrowed.",,
How many books may I have checked out at one time?,Please check the circulation rule.,,
How to solve Multimedia/ IT related Problem?,Contact department office.,,
How can I change the Campus?,Contact Office of the Registrar.,,
Total campus?,"There are 3 campus of our university with different place.
Permanant campus at Ashulia, Saver. Main Campus at Dhanmondhi-32, another one at Uttara.
",,
What are the requirements to get Laptop from university?,You have to complete at least 4 semesterssuccessfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How I can transfer credit with a foreign university?,Please contact International Affairs Office,,
How I can join in International Summer Programs?,Please contact International Affairs Office,,
How can I find the contact numbers of a teacher/officer?,"Visit the following link of DIU website 
 Officers: https://daffodilvarsity.edu.bd/administration
 
 Teachers: http://faculty.daffodilvarsity.edu.bd/",,
What is the process of teaching evaluation?,"Login to student portal and update your profile. After that, fill the teaching evaluation form and submit it.",,
What is the role of DSA Office to the students? (generally asked by fresh Student),"Office of the Director of Students  Affairs is a professional body, dedicated to the social, psychological, ethical and cognitive development and well-being of all DIU students. It also works collaboratively with respected faculty members to implement the university educational and developmental mission. In addition to it, the Office of the DSA looks after all club activities, foundation classes, orientation of newly admitted students, psychosocial support. It also organizes trainings on positive behavioral changes, national-international collaboration programs, award programs, and coordinates the unique course named Art of Living.",,
Is membership needed to get service from DSA Office?,"NO. If you have a valid DIU ID card, DSA office is officially responsible to help you within its working area.",,
How can we get notification about DSA Office?,"To reach every single student we are using some virtual platform like, Facebook, DIU authorized mail, DIU Forum, official website etc besides direct physical communication or telecommunication. Website: http://dsa.daffodilvarsity.edu.bd/ FB page: https://www.facebook.com/diudsa/",,
How can we join with club activities?,"Students those who are interested to join club activities, are highly encouraged to contact with DSA provided platform (mail, social media, website, contact number) or directly to our office location, #Level 04, Daffodil Tower, Sobhanbag, Dhaka",,
If we want to open/form a new club what should be the proceedings?,"First of all you need to form a group of students at (least 20) with a faculty member as a proposed moderator. After that, an official proposal has to be sent with club details: (why needed, student benefit, University benefit etc) within the prescribed protocol including club constitution.",,
When Foundation class will be started?,"To get update about Foundation class (Every Season/Semester) please keep your eyes on our regular mail, Social page, and website.",,
What is DIU Start up market and how we can involve ourselves here?,"DIU start up market is a student run bazaar initiated in order to help students who have an insight vision to be an entrepreneur in future. That's why we called it an Entrepreneur�'s Lab.
 
 Generally it happens two days in a week where interested students had to pay a minimum subscription charge of BDT 300, then we provide necessary logistics support to make it happen. For continuous update you can keep in touch with Start up market social page: https://www.facebook.com/DIUStartupMarket/?ref=bookmarks&qsefr=1",,
About one student one laptop:,Check DIU mail to follow every steps regarding One Student one Laptop project.,,
What is the procedure to organize an event?,Need to submit a program proposal by authorized protocol. After that the proposal will send to the proper channel for approval. If it is approved you may proceed to next.,,
How can book Auditorium/Digital Class Room/Banquet Hall?,Please go to the www.dsa.daffodilvarsity.edu.bd>>Download Requisition form >>Pay the required fee to the accounts>> Submit it to P&D Office with program approval>>Done!,,
How can we apply for waiver?,Take a waiver form from accounts by paying BDT 500 for apply. Then contact at Registrar Office for further update.,,
How can I get the ID card? (Question by the new student),Need to contact at the respective department. A new student gets the ID card within 7 days of starting the regular class.,,
About DSA office ?,"Office of the Director of Students’ Affairs is a professional body who are dedicated to the social, psychological, ethical and cognitive development and well-being of all DIU students. It also works collaboratively with respected faculty members to implement the university’s educational and developmental mission.",,
DIU Transport Schedule ?,https://daffodilvarsity.edu.bd/transport    follow the link for more information.,,
How to check payment ledger from student portal?,Login to student portal and click “payment” option for student payment ledger and payment scheme.,,
Can I meet with my course teacher other than class period?,"Yes, you can meet with your teacher during the counseling hours.",,
Where can I find information about insurance?,"Contact Mr. Md. Zubayarul Islam, Administrative Officer.Mobile: 01847140055",,
How can I login the google classroom?,First download the classroom apps from the google play store. Install the app to your mobile. Login by providing your g-mail ID and password.,,
Permanent Campus ?,"Academic activities and students enrollment have already been started at the permanent campus project. The construction will be implemented in four phases and it will have separate academic and administrative infrastructures, residential hall for both students and faculty members, library, Cafeteria, TSC, auditorium, play ground, swimming pool, prayer hall, transport pool, gymnasium, departmental faculty, research center and an ICT center. The permanent campus will be consisting of modern facilities for lectures, meetings, group activities, student organizations social and religious festivals. It will be fully equipped with medical facilities, computer, Science and technological laboratories, performance spaces and many more. DIU envisages turning the campus into Fiber Optic Network and Wifi enabled zone. For ensuring all sorts of facilities there will be on-campus shopping facility. The site for the permanent campus of DIU is situated on about 24.5 acres of land at Ashulia in the serene, calm and quiet, green and open atmosphere and is free from the hustle and bustle of the city. It will be the largest campus in private universities. The classrooms are fully equipped with state of the art technology. http://news.daffodilvarsity.edu.bd/index.php?option=com_content&view=article&id=75:foundation-stone-laying-ceremony-of-diu-observed&catid=34",,
About Quality Education,"DIU is specially committed to quality education. Quality is ensured through regular classes, strict examinations and other academic and administrative measures. http://daffodilvarsity.edu.bd/about/at-a-glance/history.html",,
Qualified Academicians,Our faculty members are highly qualified with brilliant academic backgrounds. Many have vast experiences in teaching and research. http://faculty.daffodilvarsity.edu.bd,,
Academic Diversity,"The essence of the university is academic diversity. It offers a variety of programs under the Faculty of Science and Information Technology, Faculty of Business and Economics, the Faculty of Humanities & Social Science and the Faculty of Medical & Health Science. There are seventeen departments in the university now and the university is ardent to increase the number of subjects to meet the market demand of current competitive world.http://faculty.daffodilvarsity.edu.bd",,
Awards & Recognition from Various National & International Levels ?,"Daffodil International University (DIU) has achieved lot of Awards from both National & International levels. Among the International Awards, achievement of ASOCIO 2018 ICT Education Award, Merit Award in WITSA 2017 Global ICT Excellence Awards by the largest international ICT organization, Merit Award in WITSA 2014 Global ICT Excellence Awards, World Information Technology and Services Alliance (WITSA), World Quality Commitment (WQC) Award-2010, World Congress of IT (WCIT) 2017 Merit Award, Global Inclusion Award 2017, Asia's most inspiring Nation Builder Award, Golden Star Academic & Educational Excellence Award, Amity Global Academic Excellence Award, Asia’s Best Business School Award basing on its extraordinary performance and remarkable contribution in higher education sector are some significant examples. http://photo.daffodilvarsity.edu.bd/displayimage.php?album=24&pos=19",,
Efficient Administration,"Efficient administration of DIU is capable of solving problems quickly and effectively. The Vice Chancellor, Dean, Advisor, Registrar, Exam Controller and Departmental Heads take care of administrative and academic affairs. http://daffodilvarsity.edu.bd/admin/top-management",,
ICT Facilities ?,"DIU is the first complete digital university in Bangladesh for technology-based education and operation with such facilities as computer labs, education ERP and WIFI on campus. http://forum.daffodilvarsity.edu.bd/index.php/topic,1148.0.html",,
IT Expertise Recognition ?,"DIU accorded Championship in IBBL IUT 3rd National ICT Fest-2011 in Hardware and Software Project Showcasing where a total of 18 projects of different public & private universities took part. http://news.daffodilvarsity.edu.bd/index.php?option=com_content&view=article&id=87:robotick-project&catid=34 This university became champion in IUBAT-Inter University Programming Contest 2010 The DIU team became CHAMPION, as well as got “Award of excellence” for solving all problems. 8 private universities named AIUB, BRAC, DIU, NSU, UIU, USTC, SUB and IUBAT attended the contest.",,
Wifi covered University ?,DIU is a university with Wifi coverage. Faculty members as well as students enjoy Wifi connectivity inside the campuses to be connected with internet at a wink.,,
Virtual University ?,"DIU is fully automated and all its activities are done or recorded in the Virtual University. Every student and guardian can see any information relating to payment, admission, results, course offering and others. Students registration is completely online. http://vus.daffodilvarsity.edu.bd:200/login",,
Lab facilities ?,The laboratories of DIU are considered as the country's best. There are digital labs in all departments. Departments under the Faculty of Science and Information Technology have their own specialized laboratories for practical. https://daffodilvarsity.edu.bd/article/lab-and-amenities,,
Ranking and Recognition ?,DIU is a top ranking university in Bangladesh. It has achieved many national and international recognition and rankings based on its standard and quality education. https://daffodilvarsity.edu.bd/article/ranking,,
Admission and Examination ?,Admission is taken in a transparent way and the rules of University Grants Commission. Examinations are also conducted in a strict fashion.,,
International Collaboration ?,DIU has versatile networking worldwide that assist cross cultural education and students exchanges.,,
Scholarship facilities ?,https://daffodilvarsity.edu.bd/scholarship/diu-scholarship,,
Email Facility ?,https://www.google.com/a/diu.edu.bd/,,
Location ?,http://daffodilvarsity.edu.bd/images/map/small.jpg,,
Mode of payment ?,Its mode of payment is convenient. Students can pay their fees in several installments. Installments may be paid through CDM.,,
One student One Laptop,"DIU is proud of its students and all the time think good of them. For empowering the students ICT knowledge, management has taken the initiative to provide Laptop to every student. With a view to making every student of DIU dynamic, the university has already initiated “One Student One Laptop” project, to which students also responded positively.
 http://laptop.daffodilvarsity.edu.bd/",,
Academic Programs,"DIU has continuously been introducing subjects which have market value. An expert team is analyzing different effective subjects for new students on a regular basis.
 
 Faculty of Business & Entrepreneurship
 
 Faculty of Science and Information Technology
 
 Faculty of Engineering
 
 Faculty of Humanities & Social Science
 
 Faculty of Allied Health Science",,
Co-curricular activities,"It has a lot of co-curricular activities for the students performed under different clubs. Lab & Amenities
 
 Orientations, Reception, Farewells are regular programs organized by all departments separately.http://news.daffodilvarsity.edu.bd/index.php?option=com_content&view=article&id=94:orientation-program-of-dept-of-pharmacy-held&catid=34
 
 DIU Debating Club (DIUDC) became Champion at the Grand final of the National Debate Championship 2011 organized by the Jahangirnagar University Debate Organization.http://news.daffodilvarsity.edu.bd/index.php?option=com_content&view=article&id=80:national-debate-championship-2011-&catid=34",,
DIU Forum,"Faculty members and students can take part in different forums expressing their thoughts and opinions on any subject. Forum is an effective board to solving problem, getting answer & sharing productive & beneficial ideas.
 http://forum.daffodilvarsity.edu.bd/",,
Convocation and Foundation,"DIU holds its convocation regularly to award certificates among its graduates. It also celebrates foundation day every year.
 http://convocation.daffodilvarsity.edu.bd/ & http://fd.daffodilvarsity.edu.bd/",,
Auditorium,"An auditorium with the facility of modern audio-visual equipments has been constructed in the main campus of DIU having sitting arrangement of almost 500 people. The auditorium is regularly used to conduct all seminars, symposium, cultural programs and many other co-curricular programs. 
 Auditorium",,
Student Accommodation,"DIU has arrangement of residence for female students. The accommodation provided upon requirements of the female students. DIU ensures comfortable stay, well environment and security in the resident.
 
 http://daffodilvarsity.edu.bd/academics-info/facilities/hostel-facilities.html",,
Career Development Center (CDC),"CDC is performing a pivotal role to ensure job and internship placement for the students of Daffodil International University. CDC is also responsible for arranging workshop, training programs, seminar, symposium, job fair in intra-university and inter-university level on regular basis for the professional development of students. http://cdc.daffodilvarsity.edu.bd/",,
Research Center,"To inspire and to involve the faculty members and students in research activities, DIU has setup three (03) separate research centers under each faculty, namely (i) Bureau of Business and Economics Research, (ii) Research Center for Science & Information Technology, and (iii) Research Center for Humanities & Social sciences. http://research.daffodilvarsity.edu.bd/",,
Publications,"In DIU, the Faculty of Business & Economics and the Faculty of Science & Information Technology publish two separate biannual research-based journals. These journals contain highly scholarly research conducted by the renowned researchers and scholars of home and abroad. The faculty of Humanities and Social Science is going to publish a journal very soon.",,
